;wheat_mass;Longitude;Latitude;wheat_mass_categorical
505;9145.6;5.58577995609612;48.77867161252144;> 10000
506;8138.3;5.585792906333344;48.77867564237665;8000-9000
507;9107.8;5.585805316977349;48.77867979075667;> 10000
508;8159.4;5.585818087350166;48.77868393913634;8000-9000
509;8951.4;5.58583103758739;48.778687850465445;8000-9000
510;9580.1;5.585843807960207;48.77869164326912;> 10000
511;8884.8;5.585856578333024;48.77869567312272;8000-9000
512;9156.1;5.585869348705843;48.77869970297599;> 10000
513;8115.5;5.585882478807471;48.77870432545435;8000-9000
514;8643.1;5.585895788773506;48.778708710882135;8000-9000
515;8516.3;5.58590873901073;48.778713096309545;8000-9000
516;8731.7;5.585921509383546;48.77871760026162;8000-9000
517;8329.0;5.585934459620771;48.778722459788405;8000-9000
518;8995.8;5.585947229993587;48.778727200789696;8000-9000
519;9094.6;5.585960000366405;48.77873206031555;> 10000
520;8385.4;5.5859724110104105;48.77873727541595;8000-9000
521;8797.6;5.585984821654416;48.7787424905158;8000-9000
522;9213.5;5.585996692705204;48.77874841676498;> 10000
523;9319.5;5.586008563755993;48.77875422448848;> 10000
524;8624.8;5.586020974399998;48.77875967663648;8000-9000
525;7469.6;5.586033385044004;48.778764891734006;7000-8000
526;7986.7;5.586045975552415;48.77876998830607;7000-8000
527;7922.9;5.586058566060826;48.77877520340252;7000-8000
528;7135.8;5.586070976704832;48.77878041849843;7000-8000
529;7088.0;5.586083387348838;48.77878551506891;7000-8000
530;6344.2;5.586095797992843;48.77879084868863;< 7000
531;6801.1;5.586108028772443;48.77879630083264;< 7000
532;7042.5;5.586120079687638;48.77880187150091;7000-8000
533;7634.4;5.586132490331643;48.77880732364373;7000-8000
534;7685.5;5.586144721111243;48.77881265726113;7000-8000
535;6994.8;5.5861571317552485;48.77881822792759;< 7000
536;7387.4;5.58616972226366;48.77882332449423;7000-8000
537;7878.4;5.586182132907664;48.7788288951595;7000-8000
538;7868.9;5.586194183822859;48.77883434729939;7000-8000
539;9037.0;5.586206594466866;48.77883968091391;> 10000
540;8281.6;5.586218825246465;48.778845014527874;8000-9000
541;8013.7;5.58623123589047;48.77884963699285;8000-9000
542;7349.1;5.586243826398882;48.77885485208103;7000-8000
543;8084.0;5.586256057178482;48.77886054126751;8000-9000
544;8349.5;5.586268108093676;48.778865993403954;8000-9000
545;8590.0;5.586279619415652;48.77887108996575;8000-9000
546;9355.4;5.586314153381581;48.77888649817268;> 10000
547;8570.2;5.586325844567964;48.77889206883094;8000-9000
548;8777.1;5.586337355889939;48.77889716539008;8000-9000
549;8830.1;5.586349047076321;48.778902380473326;8000-9000
550;8686.4;5.586361277855921;48.77890771408063;8000-9000
551;8633.4;5.586373328771114;48.77891316621194;8000-9000
552;9344.2;5.586385199821903;48.77891861834267;> 10000
553;8051.2;5.586397070872691;48.77892383342369;8000-9000
554;8479.7;5.586408762059073;48.77892928555326;8000-9000
555;9226.5;5.586420453245455;48.77893450063316;> 10000
556;9646.1;5.586432144431837;48.778939952761576;> 10000
557;8789.0;5.586444015482625;48.77894540488939;8000-9000
558;9686.8;5.586455706669008;48.77895073849213;> 10000
559;8540.3;5.586468656906232;48.77895666471671;8000-9000
560;8440.3;5.586481607143454;48.77896247241613;8000-9000
561;8398.3;5.586494197651866;48.77896828011488;8000-9000
562;8313.8;5.5865067881602775;48.77897432486183;8000-9000
563;9545.2;5.586519558533095;48.77898001403478;> 10000
564;9029.3;5.5865319691771;48.778985821731496;> 10000
565;7125.4;5.586544559685512;48.77899162942754;7000-8000
566;9678.0;5.586556970329517;48.77899731859852;> 10000
567;6781.2;5.586569740702335;48.77900312629325;< 7000
592;9407.7;5.58668341500685;48.77896270946507;> 10000
593;8139.1;5.586687372023779;48.778957968486026;8000-9000
